,_id,Roll No,Name,Marks (%),Attendance (%),Section,Year,Phone Number
0,68048804886da3348ebe39a2,1001,Advik Gupta,90.38393211587169,87.67473763622263,A,1,9015238602
1,68048804886da3348ebe39a3,1002,Saanvi Kumar,77.12619458202735,84.22801094319308,A,1,9240413927
2,68048804886da3348ebe39a4,1003,Siya Gupta,52.85145058484061,62.03843857477462,A,1,8134966473
3,68048804886da3348ebe39a5,1004,Atharv Rathore,50.674410314229945,69.3096720690073,A,1,9974640119
4,68048804886da3348ebe39a6,1005,Priya Singh,74.10322040765413,100.0,A,1,9753202673
5,68048804886da3348ebe39a7,1006,Vivaan Mishra,56.96773781732006,64.73234951456311,A,1,9666921843
6,68048804886da3348ebe39a8,1007,Aryan Chauhan,55.0,92.6,A,1,9254114621
7,68048804886da3348ebe39a9,1008,Avni Agarwal,65.88512669726978,65.77936660355631,A,1,9212376428
8,68048804886da3348ebe39aa,1009,Amaira Bhatia,83.4801527981927,69.55485453856146,A,1,7363970848
9,68048804886da3348ebe39ab,1010,Vikram Bhatia,57.155030595846696,90.342727841279,A,1,9390085713
10,68048804886da3348ebe39ac,1011,Aditya Ghosh,53.0,75.0,A,1,9410490688
11,68048804886da3348ebe39ad,1012,Aisha Das,62.01905604080106,89.1633717465553,A,1,8082361779
12,68048804886da3348ebe39ae,1013,Neil Pandey,74.38033225869046,79.4418434451034,A,1,7354053404
13,68048804886da3348ebe39af,1014,Sai Tiwari,47.0,77.7,A,1,9242289111
14,68048804886da3348ebe39b0,1015,Kabir Nair,54.5,63.2,A,1,7787536861
15,68048804886da3348ebe39b1,1016,Arjun Mishra,77.7,74.1,A,1,6045284412
16,68048804886da3348ebe39b2,1017,Vikram Singh,54.421793783797256,69.79927966394581,A,1,7514717797
17,68048804886da3348ebe39b3,1018,Diya Naidu,56.24763853814619,86.32287789452539,A,1,8492469741
18,68048804886da3348ebe39b4,1019,Advik Jain,74.52692970727763,93.24796776111606,A,1,7946457151
19,68048804886da3348ebe39b5,1020,Ishaan Iyer,60.3,95.0,A,1,9243609257
20,68048804886da3348ebe39b6,1021,Ishaan Roy,97.7,81.2,A,1,9781237836
21,68048804886da3348ebe39b7,1022,Saanvi Kumar,69.36244794517103,82.69796702557315,A,1,9242706930
22,68048804886da3348ebe39b8,1023,Ayaan Iyer,84.46536955626593,52.46728247413531,A,1,9241084728
23,68048804886da3348ebe39b9,1024,Dhruv Jain,71.6,98.5,A,1,8753643076
24,68048804886da3348ebe39ba,1025,Shanaya Agarwal,85.21228149871214,100.0,A,1,8527719284
25,68048804886da3348ebe39bb,1026,Amit Patel,98.1,94.1,A,1,7681676935
26,68048804886da3348ebe39bc,1027,Mohammad Chopra,45.3,89.0,A,1,8967188001
27,68048804886da3348ebe39bd,1028,Ishaan Yadav,60.9,85.7,A,1,9283363302
28,68048804886da3348ebe39be,1029,Sneha Bose,56.4,96.0,A,1,6531733985
29,68048804886da3348ebe39bf,1030,Advika Bose,40.8,94.8,A,1,9654237491
30,68048804886da3348ebe39c0,1031,Aarav Sharma,59.6,76.6,A,1,6831354742
31,68048804886da3348ebe39c1,1032,Shaurya Kapoor,78.72522915905932,53.19279158257834,B,1,6204579876
32,68048804886da3348ebe39c2,1033,Kiara Gupta,24.71178532541413,73.99585262409953,B,1,6159920383
33,68048804886da3348ebe39c3,1034,Siya Shah,48.6,81.0,B,1,9814272464
34,68048804886da3348ebe39c4,1035,Amaira Naidu,79.70154780743471,90.31959904592978,B,1,9097049821
35,68048804886da3348ebe39c5,1036,Diya Chauhan,65.8,73.0,B,1,7499540587
36,68048804886da3348ebe39c6,1037,Zara Khan,67.00959947336298,78.20782959419635,B,1,9351466081
37,68048804886da3348ebe39c7,1038,Dhruv Rathore,76.6,90.6,B,1,6506683934
38,68048804886da3348ebe39c8,1039,Mishka Bhatia,66.15375225744367,73.98384827762501,B,1,7193127646
39,68048804886da3348ebe39c9,1040,Yash Reddy,57.0,75.0,B,1,7574948938
40,68048804886da3348ebe39ca,1041,Arjun Bhatia,62.0,79.8,B,1,9143978104
41,68048804886da3348ebe39cb,1042,Avika Agarwal,42.06129056503756,82.11029572778156,B,1,8087053353
42,68048804886da3348ebe39cc,1043,Aarav Nair,56.0,78.1,B,1,6958805382
43,68048804886da3348ebe39cd,1044,Atharv Joshi,71.1,77.7,B,1,9430536891
44,68048804886da3348ebe39ce,1045,Gauri Das,67.86712039424863,72.7247281181564,B,1,8336848192
45,68048804886da3348ebe39cf,1046,Myra Patel,49.3,72.5,B,1,8071154101
46,68048804886da3348ebe39d0,1047,Aadhya Agarwal,43.23293934659272,79.45810290634044,B,1,9576494810
47,68048804886da3348ebe39d1,1048,Advika Dubey,84.1,80.6,B,1,7247926664
48,68048804886da3348ebe39d2,1049,Rohan Bose,53.80269384214517,89.85887793043386,B,1,9102438683
49,68048804886da3348ebe39d3,1050,Rahul Nair,78.3,67.5,B,1,6829262965
50,68048804886da3348ebe39d4,1051,Myra Chauhan,99.4,90.1,B,1,7892749356
51,68048804886da3348ebe39d5,1052,Mishka Naidu,38.362991944707325,62.04561736542304,B,1,7983480923
52,68048804886da3348ebe39d6,1053,Arjun Gupta,61.5,79.8,B,1,8735890402
53,68048804886da3348ebe39d7,1054,Vihaan Gupta,70.7,98.5,B,1,8828896496
54,68048804886da3348ebe39d8,1055,Aarav Mishra,98.5,85.3,B,1,7252523695
55,68048804886da3348ebe39d9,1056,Zara Das,79.07951546668396,94.91151582364424,B,1,6286370773
56,68048804886da3348ebe39da,1057,Priya Shah,91.8,71.3,B,1,6179379337
57,68048804886da3348ebe39db,1058,Sneha Menon,40.7,76.4,B,1,7715614178
58,68048804886da3348ebe39dc,1059,Mishka Agarwal,42.60597223419711,92.30411386103057,B,1,9487791341
59,68048804886da3348ebe39dd,1060,Dhruv Pandey,86.3,65.2,B,1,7827222317
60,68048804886da3348ebe39de,1061,Yash Chauhan,43.1,64.6,B,1,6137033962
61,68048804886da3348ebe39df,1062,Aditya Tiwari,60.0,87.9,B,1,9437238126
62,68048804886da3348ebe39e0,1063,Atharv Chopra,85.60481894243512,80.6855342475803,C,1,6760386286
63,68048804886da3348ebe39e1,1064,Shaurya Chauhan,95.5,69.2,C,1,7633814004
64,68048804886da3348ebe39e2,1065,Aradhya Reddy,57.2,95.5,C,1,6467799239
65,68048804886da3348ebe39e3,1066,Sai Shah,86.16535264914128,80.80595053291248,C,1,9379772323
66,68048804886da3348ebe39e4,1067,Sai Rathore,71.49170725612814,90.42174207868075,C,1,8886909161
67,68048804886da3348ebe39e5,1068,Aditya Kumar,54.73001473283605,80.31162676715738,C,1,7616789437
68,68048804886da3348ebe39e6,1069,Ayaan Chauhan,65.4,62.8,C,1,8762287896
69,68048804886da3348ebe39e7,1070,Amit Khan,45.6,80.1,C,1,6948092137
70,68048804886da3348ebe39e8,1071,Shaurya Yadav,91.19787312322124,90.86078209429816,C,1,6626357427
71,68048804886da3348ebe39e9,1072,Advika Verma,45.42781911811668,78.77028006625928,C,1,8578297433
72,68048804886da3348ebe39ea,1073,Aarav Bose,89.9,91.0,C,1,6201106602
73,68048804886da3348ebe39eb,1074,Ishaan Malhotra,39.34365579166576,81.07733524095667,C,1,6253340846
74,68048804886da3348ebe39ec,1075,Dhruv Yadav,58.678197145833835,70.84426630270593,C,1,6618182517
75,68048804886da3348ebe39ed,1076,Riya Agarwal,91.8,63.6,C,1,6329208216
76,68048804886da3348ebe39ee,1077,Kiara Malhotra,57.07746465068818,68.92934745504553,C,1,9225830586
77,68048804886da3348ebe39ef,1078,Avni Pandey,64.39461208182985,97.05177246689057,C,1,7778291507
78,68048804886da3348ebe39f0,1079,Aarav Jain,55.0,96.6,C,1,8627798330
79,68048804886da3348ebe39f1,1080,Sarah Jain,81.99135403478897,94.65649917908527,C,1,6383913958
80,68048804886da3348ebe39f2,1081,Gauri Agarwal,85.94978702825983,81.9389726135465,C,1,9066521368
81,68048804886da3348ebe39f3,1082,Avni Joshi,25.461543029135278,65.18132047024791,C,1,9898913454
82,68048804886da3348ebe39f4,1083,Kiara Naidu,100.0,75.88178876746736,C,1,6337309106
83,68048804886da3348ebe39f5,1084,Saanvi Das,36.95997201632166,86.34754517720404,C,1,7343276515
84,68048804886da3348ebe39f6,1085,Kiara Dubey,69.7,86.8,C,1,6343536779
85,68048804886da3348ebe39f7,1086,Pooja Singh,52.0,80.2,C,1,9923756805
86,68048804886da3348ebe39f8,1087,Amaira Chauhan,69.4968028024732,73.42179441917884,C,1,9125860267
87,68048804886da3348ebe39f9,1088,Ayaan Verma,61.4,97.3,C,1,8821707809
88,68048804886da3348ebe39fa,1089,Diya Nair,83.7,95.6,C,1,8555464002
89,68048804886da3348ebe39fb,1090,Gauri Chopra,74.0,82.4,C,1,9594545268
90,68048804886da3348ebe39fc,1091,Neil Patel,69.62947166153982,84.35980735365077,C,1,6369331604
91,68048804886da3348ebe39fd,1092,Mohammad Yadav,58.3,61.7,C,1,8423170645
92,68048804886da3348ebe39fe,1093,Shanaya Iyer,78.78981132722456,60.540388271914495,C,1,8312294669
