,_id,Roll No,Branch,Name,fees,fees_status,Phone Number
0,68048804886da3348ebe39a2,1001,Information Technology,Advik Gupta,0,Unpaid,9015238602
1,68048804886da3348ebe39a3,1002,Computer Science,Saanvi Kumar,49312,Unpaid,9240413927
2,68048804886da3348ebe39a4,1003,Civil Engineering,Siya Gupta,0,Unpaid,8134966473
3,68048804886da3348ebe39a5,1004,Chemical Engineering,Atharv Rathore,10800,Unpaid,9974640119
4,68048804886da3348ebe39a6,1005,Information Technology,Priya Singh,79043,Paid,9753202673
5,68048804886da3348ebe39a7,1006,Civil Engineering,Vivaan Mishra,10800,Unpaid,9666921843
6,68048804886da3348ebe39a8,1007,Electrical Engineering,Aryan Chauhan,10800,Unpaid,9254114621
7,68048804886da3348ebe39a9,1008,Chemical Engineering,Avni Agarwal,10800,Unpaid,9212376428
8,68048804886da3348ebe39aa,1009,Chemical Engineering,Amaira Bhatia,76855,Paid,7363970848
9,68048804886da3348ebe39ab,1010,Civil Engineering,Vikram Bhatia,0,Unpaid,9390085713
10,68048804886da3348ebe39ac,1011,Electrical Engineering,Aditya Ghosh,10800,Unpaid,9410490688
11,68048804886da3348ebe39ad,1012,Computer Science,Aisha Das,0,Unpaid,8082361779
12,68048804886da3348ebe39ae,1013,Chemical Engineering,Neil Pandey,31281,Unpaid,7354053404
13,68048804886da3348ebe39af,1014,Electronics & Communication,Sai Tiwari,61953,Paid,9242289111
14,68048804886da3348ebe39b0,1015,Electronics & Communication,Kabir Nair,76890,Paid,7787536861
15,68048804886da3348ebe39b1,1016,Electrical Engineering,Arjun Mishra,10800,Unpaid,6045284412
16,68048804886da3348ebe39b2,1017,Mechanical Engineering,Vikram Singh,10800,Unpaid,7514717797
17,68048804886da3348ebe39b3,1018,Mechanical Engineering,Diya Naidu,10800,Unpaid,8492469741
18,68048804886da3348ebe39b4,1019,Information Technology,Advik Jain,0,Unpaid,7946457151
19,68048804886da3348ebe39b5,1020,Electrical Engineering,Ishaan Iyer,10800,Unpaid,9243609257
20,68048804886da3348ebe39b6,1021,Electronics & Communication,Ishaan Roy,70926,Paid,9781237836
21,68048804886da3348ebe39b7,1022,Information Technology,Saanvi Kumar,72918,Paid,9242706930
22,68048804886da3348ebe39b8,1023,Civil Engineering,Ayaan Iyer,0,Unpaid,9241084728
23,68048804886da3348ebe39b9,1024,Electronics & Communication,Dhruv Jain,10800,Unpaid,8753643076
24,68048804886da3348ebe39ba,1025,Information Technology,Shanaya Agarwal,10800,Unpaid,8527719284
25,68048804886da3348ebe39bb,1026,Electrical Engineering,Amit Patel,10800,Unpaid,7681676935
26,68048804886da3348ebe39bc,1027,Biotechnology,Mohammad Chopra,10800,Unpaid,8967188001
27,68048804886da3348ebe39bd,1028,Electrical Engineering,Ishaan Yadav,62534,Paid,9283363302
28,68048804886da3348ebe39be,1029,Electrical Engineering,Sneha Bose,25905,Unpaid,6531733985
29,68048804886da3348ebe39bf,1030,Electronics & Communication,Advika Bose,10800,Unpaid,9654237491
30,68048804886da3348ebe39c0,1031,Biotechnology,Aarav Sharma,0,Unpaid,6831354742
31,68048804886da3348ebe39c1,1032,Chemical Engineering,Shaurya Kapoor,10800,Unpaid,6204579876
